Year,Level,Name,Image,Link,Description,Booth,Partner,PartnerLink,PartnerDescription
2025,Diamond,ProArch,ProArch-2025-Diamond.png,https://www.proarch.com/?utm_campaign=2025%20Rochester%20Security%20Summit&utm_source=RSS2025&utm_medium=RSSWebsite,"Headquartered in Atlanta, Georgia, with offices in Upstate New York, ProArch is a consulting and technology firm that reimagines how technology can achieve business goals with velocity. Cybersecurity is at the core of everything we do. ProArch's cybersecurity solutions encompass both IT and OT/ICS, proactively mitigating risks and ensuring regulatory compliance. With a team of seasoned consultants and a 24/7 Security Operations Center, ProArch is committed to safeguarding our clients against cyber threats every day.",,,,
2025,Platinum,Atlantic Data Security,AtlanticDataSecurity-2024-Platinum.png,https://atlanticdatasecurity.com,"Atlantic Data Security is dedicated to providing our clients with the security solutions and services needed to best mitigate risk and maintain a healthy security posture. As a trusted security advisor, we take the time to understand the unique needs and goals of our clients and then overcome the challenges in our collective way. In addition to a shortage of resources, one of the most common challenges in today's security landscape is staying ahead of constantly evolving threats.",,,,
2025,Platinum,Axonius,Axonius-2024-Platinum.png,https://www.axonius.com,"Axonius gives customers the confidence to control complexity by providing a system of record for all digital infrastructure. With a comprehensive understanding of all assets including devices, identities, software, SaaS applications, vulnerabilities, security controls, and the context between all assets, customers are able to mitigate threats, navigate risk, decrease incident response time, automate action, and inform business-level strategy -- all while eliminating manual, repetitive tasks. Recognized as creators of the Cyber Asset Attack Surface Management (CAASM) category and innovators in SaaS Management Platform (SMP) and SaaS Security Posture Management (SSPM), Axonius is deployed in minutes and integrates with hundreds of data sources to provide a comprehensive asset inventory, uncover gaps, and automatically enforce policies and automate action. Cited as one of the fastest-growing cybersecurity companies in history, with accolades from Deloitte, CNBC, Forbes, and Fortune, the Axonius Platform covers millions of assets for customers around the world.",,,,
2025,Platinum,CrowdStrike,Crowdstrike-2024-Platinum.png,https://crowdstrike.com,"CrowdStrike (Nasdaq: CRWD), a global cybersecurity leader, has redefined modern security with one of the world's most advanced cloud-native platforms for protecting critical areas of enterprise risk - endpoints and cloud workloads, identity and data.",,,,
2025,Platinum,Cyera,Cyera-2025-Platinum.png,https://www.cyera.com/,"Cyera is the fastest growing data security company in the world, empowering security leaders at Paramount Pictures, Mercury Financial, and others, to make data safely accessible to the business. The data security platform discovers their data attack surface, protects sensitive data, governs access to it, monitors critical data events, and helps to quickly respond to data risks. Customers benefit from Cyera's unique, agentless, design that easily deploys within  minutes across any environment, and its AI-powered classification engine that auto-learns over time, delivers 95% precision, and serves as the foundation for every enterprise data security program.",,,,
2025,Platinum,ePlus/Rubrik,ePlus-2025-Platinum.png,https://datastrong.eplus.com/,"The ePlus/Rubrik partnership focuses on making you Data Strong, bringing you to new heights of cyber resilience in the face of ever-rising cyberthreats. It starts with the proven strength of Rubrik's industry-leading technology that delivers bulletproof recovery when something bad happens. And it's strengthened further by ePlus experts, who bring years of engineering expertise and full management support to optimize that technology for your business goals. Ours is a long, successful integration marked by constant collaboration and deep engagement. The result is a unique synergy that streamlines your journey to cyber resilience; protects your data across enterprise, SaaS, and cloud; readies you to fully embrace the promise of GenAI; and positions your organization as an unstoppable force of continual innovation and lasting strength.",,,,
2025,Platinum,Fortinet,Fortinet-2025-Platinum.png,https://www.fortinet.com/,"Cybersecurity, everywhere you need it. FortiOS, Fortinet's operating system, is the foundation of the Fortinet Security Fabric, the industry's highest-performing and most expansive cybersecurity platform, organically built on a common management and security framework. FortiOS ties all the Security Fabric's security and networking components together to ensure seamless integration. This enables the convergence of networking and security functions to deliver a consistent user experience and resilient security posture across all manner of environments including on-premises, cloud, hybrid, and converging IT/OT/IoT infrastructure.  Stop by the Fortinet booth and say hi to your local Fortinet Upstate NY Team!",,,,
2025,Platinum,Island,Island-2025-Platinum.png,https://www.island.io/,"Island created the Enterprise Browser, a simplified enterprise workspace delighting CIOs, CISOs, and end users. The Island Enterprise Browser makes application delivery simple, data fundamentally secure, and work smooth and natural. Island embeds core IT, security, and productivity needs into the browser itself, giving organizations unprecedented last-mile control and visibility over all browser actions. IT teams log and audit work activity while keeping personal browsing private. Security teams protect sensitive data from the most sophisticated attacks with a secure-by-design architecture. And users increase productivity while working in the familiar Chromium-based browser experience. Organizations in defense, financial services, government, higher education, hospitality, manufacturing, and retail modernize security and jumpstart productivity with Island. Investors include Canapi Ventures, Capital One Ventures, Cisco Investments, Citi Ventures, Coatue Management, Cyberstarts, EDBI, Georgian, Insight Partners, Prysm Capital, ServiceNow Ventures, Sequoia Capital, and Stripes. Island is headquartered in Dallas with R&D in Israel and the US.",,,,
2025,Platinum,N-able,N-able-2025-Platinum.png,https://www.n-able.com/,"N-able and Pellera Technologies partner to deliver secure, scalable, and transformative IT solutions. N-able's unified cyber resiliency platform empowers organizations to manage, secure, and recover from evolving cyberthreats, leveraging AI-powered tools, third-party integrations, and flexible architectures. With a partner-first approach, N-able combines technology with expert training and community to help customers stay resilient and successful. Pellera Technologies, formed from Converge and Mainline, brings over 35 years of experience in digital infrastructure, cybersecurity, AI, and cloud solutions. Their AIM (Advise, Implement, Manage) methodology ensures tailored strategies, seamless integration, and continuous optimization. Together, we simplify complexity, unlock opportunity, and drive impactful business outcomes.",,,,
2025,Platinum,Palo Alto Networks ,PaloAlto-2024-Platinum.png,https://www.paloaltonetworks.com/,"Palo Alto Networks is the global cybersecurity leader, committed to making each day safer than the one before with industry-leading, AI-powered solutions in network security, cloud security and security operations. Powered by Precision AI, our technologies deliver precise threat detection and swift response, minimizing false positives and enhancing security effectiveness. Our platformization approach integrates diverse security solutions into a unified, scalable platform, streamlining management and providing operational efficiencies with comprehensive protection. From defending network perimeters to safeguarding cloud environments and ensuring rapid incident response, Palo Alto Networks empowers businesses to achieve Zero Trust security and confidently embrace digital transformation in an ever-evolving threat landscape. This unwavering commitment to security and innovation makes us the cybersecurity partner of choice. ",,,,
2025,Platinum,"Trend Micro, Inc.",TrendMicro-2024-Platinum.png,https://www.trendmicro.com/en_us/business.html,"Trend Micro, a global cybersecurity leader, helps make the world safe for exchanging digital information. Fueled by decades of security expertise, global threat research, and continuous innovation, our unified cybersecurity platform protects over 500,000 organizations and millions of individuals across clouds, networks, devices, and endpoints. The Trend Micro One unified cybersecurity platform delivers advanced threat defense techniques, extended detection and response (XDR), and integration across the IT ecosystem, including AWS, Microsoft, and Google, enabling organizations to better understand, communicate, and mitigate cyber risk. Trend Micro's global threat research team delivers unparalleled intelligence and insights that power our cybersecurity platform and help protect organizations around the world from 100s of millions of threats daily. We have 7,000 employees across 65 countries, singularly focused on security and passionate about making the world a safer and better place. Trend Micro enables organizations to simplify and secure their connected world. TrendMicro.com",,,,
2025,Gold,Abnormal Security,Abnormal-2025-Gold.png,https://abnormal.ai/,"Abnormal AI is the leading AI-native human behavior security platform, leveraging machine learning to stop sophisticated inbound attacks and detect compromised accounts across email and connected applications. The anomaly detection engine leverages identity and context to understand human behavior and analyze the risk of every cloud email event-detecting and stopping sophisticated, socially-engineered attacks that target the human vulnerability. You can deploy Abnormal in minutes with an API integration for Microsoft 365 or Google Workspace and experience the full value of the platform instantly. Additional protection is available for Slack, Workday, ServiceNow, Zoom, and multiple other cloud applications. Abnormal is currently trusted by more than 3,200 organizations, including over 20% of the Fortune 500, as it continues to redefine how cybersecurity works in the age of AI.",,,,
2025,Gold,"Bitdefender, Inc.",Bitdefender-2024-Gold.png,www.bitdefender.com,"Bitdefender is a cybersecurity leader delivering best-in-class threat prevention, detection, and response solutions worldwide. Guardian over millions of consumer, business, and government environments, Bitdefender is the industry's trusted expert* for eliminating threats, protecting privacy and data, and enabling cyber resiliency. With deep investments in research and development, Bitdefender Labs discovers 400 new threats each minute and validates 30 billion threat queries daily. The company has pioneered breakthrough innovations in antimalware, IoT security, behavioral analytics, and artificial intelligence and its technology is licensed by more than 150 of the world's most recognized technology brands. Founded in 2001, Bitdefender has customers in 170 countries with offices around the world. For more information, visit https://www.bitdefender.com. ",,,,
2025,Gold,Brite,Brite-2024-Gold.png,https://brite.com/,"Securing your organization is our mission. Through partnering with best-in-breed technology providers, Brite's cybersecurity experts and certified product engineers ensure you're protected today and tomorrow as your needs evolve. Our strategy? Early threat detection, secure access to those who need it when they need it, identify and protect your data, and ensure compliance.",,,,
2025,Gold,Cribl,Cribl-2024-Gold.png,https://cribl.io/,"Cribl, the Data Engine for IT and Security, empowers organizations to transform their data strategy.  Powered by a data processing engine purpose-built for IT and Security, Cribl's product suite is a vendor-agnostic data management solution capable of collecting data from any source, processing billions of events per second, automatically routing data for optimized storage, and analyzing any data, at any time, in any location. With Cribl, IT and Security teams have the choice, control, and flexibility required to adapt to their ever-changing data needs. Cribl's offerings-Stream, Edge, Search, and Lake-are available either as discrete products or as a holistic solution.",,,,
2025,Gold,CyberArk,CyberArk-2025-Gold.png,https://www.cyberark.com/,"CyberArk (NASDAQ: CYBR) is the global leader in identity security, trusted by organizations around the world to secure human and machine identities in the modern enterprise. CyberArk's AI-powered Identity Security Platform applies intelligent privilege controls to every identity with continuous threat prevention, detection and response across the identity lifecycle. With CyberArk, organizations can reduce operational and security risks by enabling zero trust and least privilege with complete visibility, empowering all users and identities, including workforce, IT, developers and machines, to securely access any resource, located anywhere, from everywhere. Learn more at cyberark.com.",,,,
2025,Gold,Silverfort,Silverfort-2025-Gold.png,https://www.silverfort.com,"Silverfort secures every dimension of identity. We are the first to deliver an end-to-end identity security platform that is easy to deploy and won't disrupt business operations, resulting in better security outcomes with less work. Discover every identity across every environment, analyze exposures to reduce your attack surfaces, and enforce security controls inline to stop lateral movement, ransomware, and other identity threats.",,,,
2025,Gold,Varonis,Varonis-2024-Gold.png,https://www.varonis.com/,"Varonis is a pioneer in data security and analytics, specializing in software for data protection, threat detection and response, and compliance. Varonis protects enterprise data by analyzing data activity, perimeter telemetry, and user behavior; prevents disaster by locking down sensitive data; and efficiently sustains a secure state with automation.",,,,
2025,Silver,GuidePoint Security,GuidePointSec-2025-Silver.png,https://www.guidepointsecurity.com/,"GuidePoint Security provides trusted cybersecurity expertise, solutions, and services that help organizations make better decisions that minimize risk. Our experts act as your trusted advisor to understand your business and challenges, helping you through an evaluation of your cybersecurity posture and ecosystem to expose risks, optimize resources and implement best-fit solutions. GuidePoint's unmatched expertise has enabled 40% of Fortune 500 companies and more than half of the U.S. government cabinet-level agencies to improve their security posture and reduce risk. Learn more at www.guidepointsecurity.com.",,,,
2025,Silver,Optiv,Optiv-2025-Silver.png,https://www.optiv.com/,Optiv is the cyber advisory and solutions leader. We manage cyber risk so you can secure your full potential.,,,,
2025,Silver,Red Canary,Red-Canary-2024-Silver.png,https://redcanary.com ,"Red Canary stops cyber threats no one else does, so organizations can fearlessly pursue their missions. Security leaders all share one goal: 'Don't get breached.' Since day one at Red Canary, enterprises have relied on us to find and stop threats before they can cause harm. The most sophisticated security teams trust us for our intelligence-led Security Operations platform run by world-class security experts.  We manage, detect and respond to prevalent threats across cloud, identity and endpoint so you can have more time to focus on business-specific specific security needs and requirements. We got you.",,,,
2025,Silver,Semperis,Semperis-2025-Silver.png,https://www.semperis.com/,"The world's leading organizations trust Semperis to ensure the integrity and availability of their critical enterprise directory services. Purpose-built for securing hybrid identity environments--including Active Directory, Entra ID, and Okta--Semperis' AI-powered technology protects over 100M identities from cyberattacks, data breaches and operational errors, cutting recovery time by 90%.",,,,
2025,Silver,Tenable,Tenable-2025-Silver.png,https://www.tenable.com,"Tenable is the exposure management company, exposing and closing the cybersecurity gaps that erode business value, reputation and trust. The company's AI-powered exposure management platform radically unifies security visibility, insight and action across the attack surface, equipping modern organizations to protect against attacks from IT infrastructure to cloud environments to critical infrastructure and everywhere in between. By protecting enterprises from security exposure, Tenable reduces business risk for approximately 44,000 customers around the globe.",,,,
2025,Partners,InfraGard,InfraGard-2024-Partner.png,https://www.infragard.org/,TBD,,,,
2025,Partners,"ISACA Western New York Chapter: Trust in, and value from, information systems",ISACA-2019.png,https://engage.isaca.org/westernnewyorkchapter/home,TBD,,,,
2025,Partners,ISSA Rochester Chapter,RocISSA-2019.png,https://www.rocissa.org/,TBD,,,,
